100820,"Alabaster, AL",Alabaster,AL,8.8851,29942.6
100988,"Albertville, AL",Albertville,AL,19.0408,21108.2
101852,"Anniston, AL",Anniston,AL,22.9779,23333
102956,"Athens, AL",Athens,AL,20.515,21786.4
103076,"Auburn, AL",Auburn,AL,25.6653,52918.7
105980,"Bessemer, AL",Bessemer,AL,23.31,27614.1
107000,"Birmingham, AL",Birmingham,AL,33.0212,212786
113264,"Center Point, AL",Center Point,AL,22.3962,16879.3
119648,"Daphne, AL",Daphne,AL,13.9161,21026.5
120104,"Decatur, AL",Decatur,AL,23.5177,55447.8
121184,"Dothan, AL",Dothan,AL,22.6404,65651.1
124184,"Enterprise, AL",Enterprise,AL,18.6473,26222.2
126896,"Florence, AL",Florence,AL,30.3744,38868.1
128696,"Gadsden, AL",Gadsden,AL,23.8304,36454.5
134024,"Helena, AL",Helena,AL,11.2339,16612.3
135800,"Homewood, AL",Homewood,AL,39.8147,24880.4
135896,"Hoover, AL",Hoover,AL,15.9945,79566.6
137000,"Huntsville, AL",Huntsville,AL,22.3018,179192
145784,"Madison, AL",Madison,AL,13.915,42459
150000,"Mobile, AL",Mobile,AL,32.3727,195719
151000,"Montgomery, AL",Montgomery,AL,25.438,205330
151696,"Mountain Brook, AL",Mountain Brook,AL,19.76,20401.7
155200,"Northport, AL",Northport,AL,21.9247,22288.8
157048,"Opelika, AL",Opelika,AL,16.7931,26374.1
157576,"Oxford, AL",Oxford,AL,10.3064,20657
158848,"Pelham, AL",Pelham,AL,12.1568,21314.4
159472,"Phenix City, AL",Phenix City,AL,21.6328,32504.9
162328,"Prattville, AL",Prattville,AL,17.5787,33616.2
162496,"Prichard, AL",Prichard,AL,24.7483,22616.6
169120,"Selma, AL",Selma,AL,34.8777,20627
176320,"Tillmans Corner, AL",Tillmans Corner,AL,11.3008,17113.8
176920,"Troy, AL",Troy,AL,18.6537,17768.5
176944,"Trussville, AL",Trussville,AL,9.8213,19513.3
177256,"Tuscaloosa, AL",Tuscaloosa,AL,30.0385,89469.3
178552,"Vestavia Hills, AL",Vestavia Hills,AL,21.11,33273.5
205000,"Badger, AK",Badger,AK,1.67962,19411.4
